user_id	target
1250187718539096066	0
131020387	0
1133161038411644929	0
30306594	0
1092522091289530369	0
16364758	0
19541556	0
1140224444897669121	0
1177613831624806405	0
2808611321	0
1162869943102128128	0
2599064491	0
3025330811	0
176985380	0
1887009836	0
14700902	0
2526835462	0
291336460	0
2524046315	0
190165215	0
101623213	0
184141965	0
30899259	0
1539373543	0
1319080968	0
20371543	0
1432492135	0
2229309121	0
2436925353	0
20351179	0
1294993774058381322	0
1227042879639576576	0
1143269888166944770	0
2445706940	0
1210740540230094849	0
1143875840347783168	0
1120910983336091649	0
281532373	0
2309072702	0
21005278	0
281715176	0
121140015	0
15953894	0
25771798	0
2907650748	0
15012679	0
138168339	0
30929960	0
1207388100864950277	0
250726039	0
14543478	0
24086519	0
2319526574	0
224932759	0
2729708767	0
20642255	0
134916365	0
2243272962	0
18645510	0
212803094	0
3054916219	0
275896693	0
1254523090299576320	0
1177637176131162112	0
170618342	0
183594399	0
232872889	0
278341592	0
1219076792	0
1044757003086835712	0
1294478991936507905	0
277269703	0
25584105	0
21756656	0
126100660	0
2966789732	0
2902401494	0
3151446555	0
1332597200	0
1272581601998909442	0
3255956784	0
22149851	0
1069176618994679809	0
3288774262	0
2417943763	0
1060616469535313920	0
1291636866	0
1131214267	0
180501869	0
1421453702	0
3001601898	0
326861933	0
1070900887546224641	0
3045820273	0
228056942	0
2564837948	0
15926259	0
3150081618	0
1476284540	0
17514726	0
205332443	0
127050602	0
16077139	0
2425228806	0
145358131	0
21407616	0
3097841140	0
22302255	0
2547255943	0
20422072	0
20950192	0
241212131	0
1233949823348310016	0
260957853	0
3070338144	0
239565569	0
182449926	0
112944623	0
126028024	0
106753810	0
130621574	0
1362477643	0
2777370727	0
16032967	0
2818102352	0
1219960154	0
1072386122548830209	0
122995130	0
14628352	0
17536318	0
1367830956	0
191124551	0
106285629	0
22469528	0
1343249748	0
176941218	0
1537141189	0
2186292810	0
3291198179	0
1375435626	0
22876661	0
31517373	0
1623131262	0
1040253930	0
1003756828486979586	0
1166121812	0
268081726	0
158159988	0
16813943	0
1183413812763881472	0
1114643525419831297	0
1112516563943464961	0
1143616922	0
